                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.97211,                 1.7563,                 1.1546,                0.95239,                0.91514,                0.94172,                0.72532,                0.95398,                 1.9274,                 1.3167,             0.00065657,             0.00065657,             0.00065657
                      1,                0.96717,                 1.3179,                  1.141,                0.89216,                0.84967,                0.92131,                0.69231,                0.98244,                 1.5728,                 1.2139,              0.0013101,              0.0013101,              0.0013101
                      2,                0.92757,                 1.1631,                 1.1216,                0.80815,                0.86928,                0.88742,                 0.6528,                0.95168,                 3.6116,                 1.2481,              0.0019505,              0.0019505,              0.0019505
                      3,                0.89477,                 1.0438,                   1.12,                0.94346,                0.87252,                0.94064,                0.67683,                0.98998,                 1.3507,                 1.2699,              0.0019406,              0.0019406,              0.0019406
                      4,                0.84949,                0.94408,                 1.0996,                0.91973,                0.93464,                 0.9662,                0.75334,                0.89439,                 1.0908,                  1.172,              0.0019406,              0.0019406,              0.0019406
                      5,                0.88564,                 0.8541,                 1.1048,                0.96833,                0.92157,                0.97258,                0.75476,                0.85158,                0.97312,                 1.1424,              0.0019208,              0.0019208,              0.0019208
                      6,                0.86923,                0.77779,                 1.1216,                0.94103,                 0.9281,                0.96935,                0.77419,                0.79468,                 0.8003,                 1.1036,               0.001901,               0.001901,               0.001901
                      7,                0.83949,                0.73436,                 1.1068,                0.96948,                0.93464,                0.97781,                0.79241,                0.79415,                0.71773,                 1.0947,              0.0018812,              0.0018812,              0.0018812
                      8,                0.79369,                0.67749,                 1.0735,                0.94957,                0.98451,                0.98958,                0.82886,                0.70356,                0.62053,                 1.0496,              0.0018614,              0.0018614,              0.0018614
                      9,                0.78733,                0.65337,                 1.0709,                0.96745,                0.94118,                0.98209,                0.75107,                0.81682,                0.72117,                 1.1664,              0.0018416,              0.0018416,              0.0018416
                     10,                0.76783,                0.62041,                 1.0477,                0.96787,                0.97386,                0.99101,                0.79302,                0.75684,                0.57199,                 1.0951,              0.0018218,              0.0018218,              0.0018218
                     11,                0.70886,                0.59293,                  1.033,                0.95981,                0.97386,                0.98772,                0.80177,                0.71647,                0.63069,                 1.0737,               0.001802,               0.001802,               0.001802
                     12,                0.75319,                0.60694,                 1.0274,                0.98025,                0.97299,                0.98464,                0.79317,                0.77374,                0.60869,                 1.0558,              0.0017822,              0.0017822,              0.0017822
                     13,                0.77491,                 0.5811,                 1.0885,                0.93614,                 0.9581,                0.97695,                0.79263,                0.75408,                0.64768,                 1.1241,              0.0017624,              0.0017624,              0.0017624
                     14,                0.72594,                0.56997,                 1.0367,                0.96702,                0.95816,                0.98787,                0.82369,                 0.7106,                0.56473,                 1.0769,              0.0017426,              0.0017426,              0.0017426
                     15,                0.74525,                 0.5811,                 1.0572,                0.95847,                0.97386,                0.98748,                0.70509,                0.92723,                0.65507,                 1.1881,              0.0017228,              0.0017228,              0.0017228
                     16,                0.67693,                0.54468,                 1.0231,                0.93267,                0.96078,                0.98434,                0.80082,                0.78336,                0.58476,                 1.1019,               0.001703,               0.001703,               0.001703
                     17,                0.68418,                0.53631,                  1.008,                0.97032,                0.97386,                0.98755,                0.84012,                0.67705,                0.52394,                 1.0548,              0.0016832,              0.0016832,              0.0016832
                     18,                0.65968,                0.51392,                 1.0138,                0.97108,                0.98693,                0.99213,                 0.8459,                0.62927,                0.48409,                 1.0171,              0.0016634,              0.0016634,              0.0016634
                     19,                0.66812,                 0.5014,                 1.0147,                0.95492,                0.95425,                0.98593,                0.85754,                0.64478,                 0.4855,                 1.0129,              0.0016436,              0.0016436,              0.0016436
                     20,                0.69714,                0.53363,                 1.0416,                0.98051,                0.96732,                0.98749,                0.83556,                0.68982,                0.51115,                 1.0606,              0.0016238,              0.0016238,              0.0016238
                     21,                0.67135,                 0.5239,                 1.0323,                0.96138,                0.97635,                 0.9893,                0.81699,                0.69156,                0.49844,                 1.0568,               0.001604,               0.001604,               0.001604
                     22,                0.62939,                0.48871,                 1.0089,                0.96149,                0.98039,                0.99025,                 0.8548,                0.60777,                0.45004,                 1.0026,              0.0015842,              0.0015842,              0.0015842
                     23,                0.63128,                0.49735,                 1.0166,                0.96496,                0.98039,                0.98557,                0.86197,                0.62074,                0.48139,                0.99429,              0.0015644,              0.0015644,              0.0015644
                     24,                0.60943,                0.47785,                0.96025,                0.98242,                0.98039,                0.99319,                0.87077,                 0.5622,                0.42157,                0.98114,              0.0015446,              0.0015446,              0.0015446
                     25,                0.60286,                0.47678,                0.97788,                0.98038,                0.97959,                 0.9939,                 0.8813,                0.58094,                 0.4292,                0.98732,              0.0015248,              0.0015248,              0.0015248
                     26,                0.59302,                0.45794,                0.98534,                0.98051,                0.97386,                 0.9903,                0.86521,                0.61059,                0.42039,                 1.0525,               0.001505,               0.001505,               0.001505
                     27,                0.61074,                0.45972,                 0.9875,                0.97827,                0.98039,                 0.9889,                0.86548,                0.57525,                0.41836,                0.98974,              0.0014852,              0.0014852,              0.0014852
                     28,                0.62227,                 0.4503,                 1.0053,                0.96525,                0.98039,                 0.9905,                0.87018,                 0.5897,                0.41067,                0.98328,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.6123,                0.43756,                0.97721,                0.95512,                0.97372,                0.99103,                0.88174,                0.56805,                0.43741,                0.96737,              0.0014456,              0.0014456,              0.0014456
                     30,                0.64157,                0.46019,                 1.0023,                0.98238,                0.97386,                0.99231,                0.87493,                0.59608,                0.43633,                0.97667,              0.0014258,              0.0014258,              0.0014258
                     31,                0.60333,                 0.4344,                0.97796,                0.97788,                0.98693,                0.99258,                0.86502,                0.59614,                0.42038,                0.98845,               0.001406,               0.001406,               0.001406
                     32,                0.59871,                0.45572,                0.98165,                0.96556,                0.98039,                 0.9925,                 0.8627,                0.65643,                0.42244,                  1.038,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.6397,                0.45448,                0.98464,                0.96025,                      1,                0.99329,                0.87848,                0.55403,                0.42183,                 0.9593,              0.0013664,              0.0013664,              0.0013664
                     34,                0.58231,                0.43362,                0.97083,                0.98706,                0.99717,                0.99474,                0.89028,                0.53734,                0.39093,                0.94922,              0.0013466,              0.0013466,              0.0013466
                     35,                0.57624,                0.41749,                0.96755,                0.99776,                0.99346,                  0.995,                0.88228,                0.55845,                0.38064,                0.96343,              0.0013268,              0.0013268,              0.0013268
                     36,                0.56926,                0.40174,                0.96699,                0.98706,                0.99725,                0.99487,                0.87501,                0.55231,                0.38064,                0.95829,               0.001307,               0.001307,               0.001307
                     37,                0.55865,                0.41918,                 0.9616,                0.98611,                0.97386,                0.99381,                0.89151,                0.53684,                 0.3773,                0.96546,              0.0012872,              0.0012872,              0.0012872
                     38,                0.56084,                0.41421,                0.97587,                 0.9973,                0.96732,                0.99381,                0.85728,                0.61946,                0.43592,                 1.0172,              0.0012674,              0.0012674,              0.0012674
                     39,                0.56671,                0.41069,                0.96759,                0.97848,                0.98693,                0.99399,                0.89189,                0.52681,                0.37028,                0.94878,              0.0012476,              0.0012476,              0.0012476
                     40,                0.53384,                0.39517,                 0.9565,                0.97388,                0.99346,                0.99366,                0.89421,                0.56472,                0.36844,                0.99375,              0.0012278,              0.0012278,              0.0012278
                     41,                0.54008,                0.38508,                0.95053,                0.99197,                      1,                0.99494,                0.90439,                0.51496,                0.34446,                0.95707,               0.001208,               0.001208,               0.001208
                     42,                0.54747,                0.39525,                0.96681,                0.99063,                0.99346,                0.99474,                0.86778,                 0.5623,                0.35699,                0.99582,              0.0011882,              0.0011882,              0.0011882
                     43,                0.53427,                 0.3885,                0.95485,                0.99346,                0.99303,                0.99448,                0.89525,                0.54068,                 0.3412,                0.96662,              0.0011684,              0.0011684,              0.0011684
                     44,                0.53477,                0.38335,                0.94576,                0.98587,                0.99346,                0.99448,                0.90113,                0.51406,                0.34155,                0.95795,              0.0011486,              0.0011486,              0.0011486
                     45,                0.54406,                 0.3811,                0.95549,                0.98657,                0.99346,                 0.9948,                0.91711,                0.50992,                 0.3417,                0.94637,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.5255,                0.37446,                0.95231,                0.99089,                0.98693,                0.99461,                0.89398,                0.53507,                0.36129,                0.96064,               0.001109,               0.001109,               0.001109
                     47,                0.52664,                0.38083,                0.94794,                0.99118,                0.98039,                0.99436,                 0.8723,                0.55809,                0.36069,                0.98779,              0.0010892,              0.0010892,              0.0010892
                     48,                0.52754,                0.37008,                0.94383,                0.98829,                0.98039,                0.99408,                0.91438,                0.49531,                0.35681,                0.93812,              0.0010694,              0.0010694,              0.0010694
                     49,                0.51383,                0.36622,                0.94737,                0.98648,                0.99346,                0.99395,                0.90762,                0.51713,                0.37459,                0.95869,              0.0010496,              0.0010496,              0.0010496
                     50,                0.49774,                 0.3686,                0.93919,                0.96107,                0.96732,                0.99015,                0.83613,                0.63708,                0.41709,                 1.0471,              0.0010298,              0.0010298,              0.0010298
                     51,                0.52259,                0.37497,                 0.9441,                      1,                0.98525,                0.99487,                0.90682,                 0.4846,                0.35907,                0.94398,                0.00101,                0.00101,                0.00101
                     52,                0.50285,                0.35338,                 0.9489,                0.99141,                0.98693,                0.99422,                0.89831,                0.50385,                0.32318,                0.95203,              0.0009902,              0.0009902,              0.0009902
                     53,                0.49423,                0.34952,                0.93861,                  0.987,                0.99239,                0.99474,                0.89652,                0.52041,                0.36228,                0.94429,              0.0009704,              0.0009704,              0.0009704
                     54,                0.49027,                 0.3449,                0.91916,                 0.9935,                0.99865,                0.99494,                0.88322,                0.54523,                 0.3407,                 0.9659,              0.0009506,              0.0009506,              0.0009506
                     55,                0.49573,                0.34455,                0.92156,                0.99189,                0.99346,                0.99435,                0.90434,                0.49167,                0.33186,                0.93436,              0.0009308,              0.0009308,              0.0009308
                     56,                0.48286,                0.34862,                0.92687,                0.98802,                0.98693,                0.99474,                0.92053,                0.49562,                0.34418,                0.94042,               0.000911,               0.000911,               0.000911
                     57,                0.48266,                0.33948,                 0.9331,                0.98881,                0.99346,                0.99493,                0.90167,                0.50833,                0.32268,                0.93861,              0.0008912,              0.0008912,              0.0008912
                     58,                    0.5,                0.34392,                0.93409,                0.98004,                0.99346,                0.99447,                 0.8999,                0.52235,                0.32746,                0.96251,              0.0008714,              0.0008714,              0.0008714
                     59,                0.49292,                0.34757,                0.93624,                 0.9921,                0.99346,                0.99493,                0.91188,                 0.5182,                0.33418,                0.96546,              0.0008516,              0.0008516,              0.0008516
                     60,                0.46538,                 0.3395,                0.92895,                0.97878,                0.99346,                0.99447,                0.90281,                 0.4996,                0.31918,                0.95423,              0.0008318,              0.0008318,              0.0008318
                     61,                0.47445,                0.33456,                0.91942,                0.98062,                0.99191,                0.99441,                0.92626,                 0.4727,                0.30803,                0.92449,               0.000812,               0.000812,               0.000812
                     62,                0.47709,                 0.3313,                0.91775,                  0.987,                0.99267,                0.99467,                 0.9142,                0.49203,                0.30431,                0.93211,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.4857,                0.33232,                0.92871,                0.98566,                      1,                0.99474,                 0.9225,                0.45661,                0.29153,                0.91599,              0.0007724,              0.0007724,              0.0007724
                     64,                0.46562,                 0.3356,                0.91889,                0.98709,                0.99925,                0.99474,                0.93583,                0.45015,                0.29779,                0.92194,              0.0007526,              0.0007526,              0.0007526
                     65,                0.47732,                0.32909,                0.92252,                0.99905,                      1,                  0.995,                0.92601,                 0.4557,                0.27922,                0.92196,              0.0007328,              0.0007328,              0.0007328
                     66,                0.45027,                0.32003,                0.91194,                 0.9935,                0.99834,                0.99494,                0.92308,                0.45717,                0.29041,                0.92593,               0.000713,               0.000713,               0.000713
                     67,                0.46391,                0.33311,                0.91011,                0.98535,                      1,                0.99474,                 0.9258,                0.45696,                 0.2829,                0.92351,              0.0006932,              0.0006932,              0.0006932
                     68,                0.48592,                0.32275,                0.92518,                0.99202,                0.99346,                 0.9948,                 0.9233,                0.46391,                 0.2984,                0.91832,              0.0006734,              0.0006734,              0.0006734
                     69,                0.48679,                0.32796,                0.92467,                 0.9926,                0.99346,                0.99493,                0.92589,                0.45438,                0.32174,                0.91348,              0.0006536,              0.0006536,              0.0006536
                     70,                0.44492,                0.30314,                0.90281,                0.99278,                0.99346,                 0.9948,                0.92286,                0.46506,                0.32131,                0.92525,              0.0006338,              0.0006338,              0.0006338
                     71,                0.46239,                0.31549,                0.90559,                0.98663,                0.99346,                 0.9948,                 0.9263,                0.44865,                0.28941,                0.91947,               0.000614,               0.000614,               0.000614
                     72,                0.46961,                0.32505,                0.91923,                0.99556,                      1,                  0.995,                0.93252,                0.45032,                0.28212,                0.91684,              0.0005942,              0.0005942,              0.0005942
                     73,                0.45425,                0.31153,                 0.9142,                0.99671,                0.98693,                0.99487,                 0.9366,                0.43477,                0.28368,                0.91124,              0.0005744,              0.0005744,              0.0005744
                     74,                0.42195,                0.29848,                0.89622,                0.98683,                0.97963,                0.99421,                0.91539,                0.48134,                0.30622,                0.94377,              0.0005546,              0.0005546,              0.0005546
                     75,                0.41924,                0.29965,                 0.9016,                 0.9987,                0.99346,                  0.995,                0.93318,                0.43682,                0.27821,                0.91007,              0.0005348,              0.0005348,              0.0005348
                     76,                0.43721,                0.30133,                0.90224,                      1,                0.99232,                  0.995,                0.93488,                0.43731,                 0.2672,                0.91074,               0.000515,               0.000515,               0.000515
                     77,                0.42277,                0.29391,                0.89309,                      1,                0.99192,                  0.995,                 0.9366,                0.42669,                0.27754,                0.90334,              0.0004952,              0.0004952,              0.0004952
                     78,                0.43874,                0.29494,                0.91274,                      1,                0.99335,                  0.995,                 0.9423,                0.43672,                0.28195,                0.91737,              0.0004754,              0.0004754,              0.0004754
                     79,                0.43831,                0.29944,                0.90286,                0.99302,                0.99346,                  0.995,                0.92986,                0.44719,                0.27998,                0.91106,              0.0004556,              0.0004556,              0.0004556
                     80,                0.42476,                0.29103,                0.90133,                0.99521,                0.98693,                0.99493,                0.93429,                0.43129,                0.26194,                0.90764,              0.0004358,              0.0004358,              0.0004358
                     81,                0.41449,                0.28518,                0.88854,                0.98581,                0.99346,                0.99454,                0.93457,                0.43415,                0.27011,                0.90804,               0.000416,               0.000416,               0.000416
                     82,                0.40962,                0.28018,                0.89134,                0.98759,                0.99346,                0.99493,                0.93695,                0.42398,                0.26547,                0.90232,              0.0003962,              0.0003962,              0.0003962
                     83,                0.40508,                0.28231,                0.88835,                 0.9932,                0.99346,                 0.9948,                0.93468,                0.44234,                 0.2647,                0.91779,              0.0003764,              0.0003764,              0.0003764
                     84,                0.42036,                0.28164,                0.89516,                0.99351,                0.99993,                0.99494,                0.92894,                0.44349,                0.25954,                0.91681,              0.0003566,              0.0003566,              0.0003566
                     85,                0.43251,                0.29901,                0.89527,                      1,                0.99102,                  0.995,                0.93045,                0.45268,                0.25909,                0.91532,              0.0003368,              0.0003368,              0.0003368
                     86,                0.40684,                0.28079,                0.88402,                      1,                0.99182,                  0.995,                0.93036,                0.43759,                0.26201,                0.91301,               0.000317,               0.000317,               0.000317
                     87,                 0.4167,                 0.2821,                0.89446,                0.99935,                0.99346,                  0.995,                0.93967,                0.43285,                0.25929,                0.91793,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.4108,                0.27379,                0.89291,                      1,                0.99224,                  0.995,                0.93515,                0.43546,                0.27075,                0.91592,              0.0002774,              0.0002774,              0.0002774
                     89,                0.40518,                0.27919,                0.89909,                0.99912,                0.99346,                  0.995,                0.94306,                0.42734,                0.28202,                0.91302,              0.0002576,              0.0002576,              0.0002576
                     90,                0.39504,                0.26924,                0.88234,                0.99919,                0.99346,                  0.995,                0.94541,                0.41772,                0.26444,                0.90648,              0.0002378,              0.0002378,              0.0002378
                     91,                0.40686,                0.27596,                0.89719,                0.99346,                 0.9932,                0.99493,                 0.9366,                0.42789,                 0.2647,                0.90928,               0.000218,               0.000218,               0.000218
                     92,                0.39344,                0.25881,                0.88257,                0.99346,                0.99271,                0.99493,                0.93742,                 0.4288,                0.26957,                0.91258,              0.0001982,              0.0001982,              0.0001982
                     93,                0.39293,                0.26936,                0.88543,                      1,                0.98209,                0.99487,                0.94078,                0.43035,                0.27666,                0.91331,              0.0001784,              0.0001784,              0.0001784
                     94,                0.38821,                0.26134,                0.88075,                0.99302,                0.99346,                0.99493,                0.94773,                0.41739,                 0.2749,                 0.9054,              0.0001586,              0.0001586,              0.0001586
                     95,                0.38217,                0.25576,                 0.8759,                      1,                0.99206,                  0.995,                0.94689,                0.40859,                0.26907,                0.90176,              0.0001388,              0.0001388,              0.0001388
                     96,                0.40031,                0.26898,                 0.8963,                0.98649,                0.99346,                0.99474,                 0.9399,                0.41298,                0.27443,                 0.9046,               0.000119,               0.000119,               0.000119
                     97,                0.37706,                0.25252,                0.88537,                0.99337,                0.99346,                 0.9948,                0.94343,                0.41499,                0.26307,                0.90531,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.38315,                0.25955,                0.87907,                0.99325,                0.99346,                 0.9948,                0.94037,                0.41374,                0.25216,                0.90236,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.39564,                0.26567,                0.88854,                0.99323,                0.99346,                0.99493,                 0.9438,                0.41082,                0.25226,                0.90129,               5.96e-05,               5.96e-05,               5.96e-05
